epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,589.59,1.12761,11.971,4.00791,0.19996,0.33721,0.1257,0.03655,1.35977,12.6797,4.40693,0.00672675,0.00672675,0.00672675
80,596.914,1.1329,11.7782,3.96867,0.24707,0.34774,0.13167,0.03741,1.37375,12.399,4.37055,0.00665339,0.00665339,0.00665339
81,604.228,1.12614,11.8925,3.96189,0.17162,0.32224,0.13726,0.03623,1.35339,12.21,4.30554,0.00657963,0.00657963,0.00657963
82,611.643,1.13854,11.7908,3.95434,0.20988,0.31353,0.18048,0.0479,1.35437,12.0596,4.32473,0.0065055,0.0065055,0.0065055
83,619.023,1.12199,11.6673,3.94812,0.20248,0.31986,0.13506,0.03479,1.34737,11.9699,4.25968,0.00643101,0.00643101,0.00643101
84,626.379,1.13268,11.8141,3.97868,0.19643,0.291,0.13619,0.03454,1.34832,12.7355,4.30231,0.00635617,0.00635617,0.00635617
85,633.774,1.14264,11.7469,3.95886,0.28071,0.35462,0.15039,0.03907,1.35076,12.1975,4.34988,0.00628101,0.00628101,0.00628101
86,641.173,1.13366,11.7231,3.92623,0.18399,0.35795,0.15494,0.04031,1.36171,12.2938,4.35363,0.00620555,0.00620555,0.00620555
87,648.532,1.14496,11.6082,3.95012,0.22542,0.30882,0.18247,0.04519,1.3758,12.1901,4.41397,0.00612981,0.00612981,0.00612981
88,655.982,1.13279,11.653,3.9375,0.16994,0.27099,0.1496,0.04515,1.3835,12.698,4.36682,0.0060538,0.0060538,0.0060538
89,663.381,1.08474,11.7009,3.90073,0.23806,0.32205,0.17761,0.0468,1.35386,12.2883,4.38426,0.00597754,0.00597754,0.00597754
90,670.854,1.11406,11.6454,3.93637,0.24745,0.32073,0.15066,0.03779,1.36052,12.0904,4.33413,0.00590105,0.00590105,0.00590105
91,678.28,1.12014,11.6087,3.95563,0.14846,0.2931,0.11605,0.03058,1.33926,12.6202,4.31364,0.00582435,0.00582435,0.00582435
92,685.894,1.10314,11.6818,3.87261,0.21316,0.20893,0.1571,0.03935,1.37224,12.5551,4.35413,0.00574746,0.00574746,0.00574746
93,693.028,1.09272,11.794,3.86978,0.19642,0.30883,0.17465,0.04522,1.30925,12.3003,4.16146,0.0056704,0.0056704,0.0056704
94,700.24,1.09467,11.6393,3.84786,0.18515,0.22893,0.13232,0.03453,1.3924,12.4705,4.36746,0.00559318,0.00559318,0.00559318
